tachometer,underhang_axial,underhang_radial,underhang_tangential,overhang_axial,overhang_radial,overhang_tangential,microphone
-0.86523,0.38583,-0.16213,0.024859,-1.0612,-0.006457,-0.62187,0.15834
-0.85031,0.66385,0.33471,0.073596,-1.0354,-0.0042558,-0.60784,-0.19972
-0.89662,0.67818,-0.1132,-0.032042,-1.0791,-0.0073747,-0.68304,0.25621
-0.70178,-0.25686,0.013538,-0.042601,-1.1231,-0.001092,-0.77994,-0.036213
-0.68368,1.2981,0.25303,-0.0097671,-1.0391,-0.0026129,-0.72663,0.037555
-1.0455,-0.35977,-0.069191,-0.022928,-1.1286,-0.0051799,-0.8057,0.065154
-0.69051,1.5062,0.45019,0.12824,-0.99425,-0.0045189,-0.65269,-0.10855
-0.75154,-0.43348,-0.2454,-0.0014752,-1.1071,-0.0038002,-0.75541,0.27222
-0.79312,0.90243,0.54753,0.06795,-0.97053,-0.0025038,-0.65504,-0.18609
-0.83417,0.22836,0.048356,-0.046943,-0.99825,-0.004551,-0.65846,0.2719
-0.88086,0.11893,0.53307,0.06664,-0.95082,-0.0048462,-0.54615,-0.17216
-0.76225,0.93608,0.11109,0.060923,-1.0036,0.035866,-0.55541,0.19826
-0.90331,-0.53359,0.02645,0.067006,-0.94368,0.038164,-0.56114,-0.008541
-0.84353,1.2906,0.41651,0.1136,-0.72165,0.036213,-0.3115,0.012171
-0.71971,-0.4642,-0.070649,0.0018904,-0.90304,0.039608,-0.47335,0.15182
-0.87081,1.3951,0.53167,0.099281,-0.73468,0.039396,-0.33455,-0.12889
-0.7546,-0.26044,-0.31257,0.017415,-0.90298,0.039364,-0.50213,0.27354
-0.85669,0.51879,0.41264,0.088355,-0.77443,0.039274,-0.40819,-0.19044
-0.88791,0.47601,-0.15601,-0.060219,-0.86905,0.038106,-0.58068,0.2529
-0.63433,0.060204,0.20709,-0.026563,-0.78036,0.040243,-0.60699,-0.14023
-0.94037,1.2224,-0.034732,-0.03323,-0.7151,0.038376,-0.59494,0.15976
-0.81413,-0.71222,-0.21247,-0.048266,-0.6694,0.03688,-0.71119,0.0083982
-0.84489,1.3523,0.32318,0.052451,-0.40646,0.038504,-0.50323,-0.023314
-0.81633,-0.50228,-0.28525,-0.058433,-0.5612,0.03724,-0.65623,0.13216
-0.84441,1.0903,0.52637,-0.013852,-0.42493,0.041154,-0.5232,-0.13814
-0.84058,-0.041559,-0.26852,-0.14018,-0.49363,0.043343,-0.53265,0.23542
-0.79348,0.17689,0.44729,-0.070939,-0.43051,0.04668,-0.44635,-0.19774
-0.92467,0.60284,0.1544,-0.10665,-0.46287,0.045518,-0.43283,0.20057
-0.81668,-0.46553,0.3853,-0.061022,-0.49277,0.045031,-0.35834,-0.083404
-0.76583,1.2157,0.25724,0.0094373,-0.45126,0.046738,-0.24157,0.053934
-0.86732,-0.43538,-0.096358,-0.0087523,-0.52081,0.046006,-0.26532,0.0094447
-0.71004,1.2649,0.44474,0.079607,-0.46376,0.050261,-0.17925,-0.063764
-0.8608,-0.21154,-0.57616,0.031757,-0.57798,0.051018,-0.25371,0.15713
-0.79537,1.0196,0.42892,0.14048,-0.5266,0.055799,-0.19104,-0.13381
-0.77701,0.47817,-0.26949,0.05987,-0.54623,0.052693,-0.24372,0.12033
-0.79502,0.38477,0.30981,0.056414,-0.54195,0.053168,-0.27873,-0.16051
-0.85018,1.1929,-0.10937,0.0060268,-0.55568,0.050543,-0.34067,0.11872
-0.80667,-0.065674,-0.066422,-0.023596,-0.59579,0.044344,-0.4108,-0.08484
-0.71527,1.4671,0.24627,-0.025156,-0.54964,0.044068,-0.39456,0.021565
-0.95874,-0.17484,-0.2094,-0.099084,-0.60351,0.038311,-0.49835,0.0081061
-0.75452,1.4902,0.45777,-0.038041,-0.52936,0.042528,-0.45591,-0.076979
-0.9179,-0.35933,-0.28113,-0.1402,-0.5936,0.038318,-0.50057,0.16599
-0.72017,0.58787,0.38986,-0.026383,-0.53106,0.038953,-0.44603,-0.16435
-0.75822,0.30006,-0.19069,-0.024373,-0.55533,0.03706,-0.43668,0.19052
-0.93076,-0.39534,0.22818,0.072992,-0.5613,0.040455,-0.36925,-0.14486
-0.75928,1.0846,0.048921,0.10805,-0.56438,0.04256,-0.33128,0.1196
-0.81158,-0.73657,-0.032195,0.086737,-0.64326,0.041783,-0.3435,-0.028279
-0.91808,1.2789,0.27809,0.11331,-0.58625,0.042091,-0.25344,-0.0038438
-0.75,-0.83103,-0.25476,0.021455,-0.71969,0.044761,-0.36169,0.16616
-0.9057,0.86555,0.48575,0.11818,-0.62928,0.047861,-0.22804,-0.14043
-0.70338,-0.36361,-0.195,-0.027597,-0.74159,0.045409,-0.31226,0.24513
-0.87551,0.05644,0.51807,0.0026804,-0.68858,0.049099,-0.24548,-0.17866
-0.76388,0.52134,-0.026574,-0.10044,-0.73722,0.047893,-0.24316,0.24457
-0.70417,-0.50566,0.31509,-0.072198,-0.77193,0.046757,-0.24406,-0.092482
-0.89849,1.1987,0.32207,-0.041451,-0.71904,0.044004,-0.19598,0.11242
-0.82017,-0.95583,0.050984,-0.089604,-0.8315,0.039736,-0.31712,0.071725
-0.72333,1.3817,0.59911,0.014903,-0.71727,0.04367,-0.23558,-0.069459
-0.89212,-0.61967,-0.078679,-0.092976,-0.81317,0.038183,-0.32672,0.15805
-0.76849,0.76675,0.64837,0.024717,-0.72124,0.040243,-0.31511,-0.17861
-0.80188,-0.15476,-0.15709,-0.085885,-0.8032,0.037657,-0.51176,0.26416
-0.87061,-0.080933,0.46459,0.0084225,-0.76692,0.038799,-0.53644,-0.1765
-0.7421,0.53969,0.010782,-0.011623,-0.76742,0.03894,-0.56501,0.20549
-0.86586,-0.85647,0.11598,0.016258,-0.8145,0.039954,-0.63944,-0.066782
-0.71195,0.9818,0.22688,0.083371,-0.76632,0.041328,-0.62709,0.051428
-0.81463,-1.0868,-0.22335,0.059427,-0.87699,0.038703,-0.70575,0.059994
-0.73407,1.0472,0.40491,0.18641,-0.80186,0.036726,-0.56252,-0.091923
-0.78459,-0.54757,-0.38522,0.092794,-0.92157,0.03543,-0.61267,0.17309
-0.7741,0.70176,0.43947,0.15518,-0.86485,0.034159,-0.48725,-0.17092
-0.80239,0.21311,-0.30251,0.033099,-0.93172,0.031124,-0.45703,0.21332
-0.80998,-0.14983,0.22092,0.063447,-0.93343,0.032382,-0.3718,-0.15272
-0.77219,0.95759,-0.012544,-0.0077696,-0.92363,0.031079,-0.28531,0.14617
-0.83919,-0.81024,-0.043835,-0.069892,-0.98003,0.029975,-0.2797,-0.063764
-0.7871,1.1586,0.23796,-0.071729,-0.90885,0.032439,-0.15124,0.012998
-0.73984,-0.64534,-0.37069,-0.13991,-1.0066,0.028563,-0.21111,0.090417
-0.85871,1.0399,0.37618,-0.053257,-0.91242,0.030354,-0.16956,-0.11594
-0.78358,-0.27602,-0.48048,-0.12577,-0.98787,0.029051,-0.29028,0.16652
-0.69695,0.4625,0.28927,-0.021926,-0.93377,0.030713,-0.28258,-0.17642
-0.77324,0.4532,-0.35401,-0.064439,-0.97422,0.029911,-0.39145,0.19857
-0.8908,-0.60021,0.049795,0.007382,-0.98836,0.029372,-0.45823,-0.15053
-0.70499,0.94304,-0.067668,0.051167,-0.95518,0.027838,-0.49142,0.10066
-0.67046,-1.0571,-0.28159,0.05766,-1.0347,0.021915,-0.63072,0.004139
-0.81529,1.1268,0.22621,0.175,-0.9556,0.019675,-0.60646,-0.039231
-0.747,-0.98397,-0.4299,0.10994,-1.0664,0.017628,-0.7322,0.14418
-0.71206,0.55153,0.39998,0.20142,-0.98653,0.020105,-0.61188,-0.15608
-0.70073,-0.32794,-0.36696,0.063711,-1.0727,0.016954,-0.66468,0.21379
-0.70167,0.17131,0.32952,0.12358,-1.0228,0.022274,-0.61267,-0.18906
-0.69128,0.53706,-0.11103,0.044371,-1.0473,0.02169,-0.58012,0.23501
-0.76229,-0.71981,0.13514,0.011351,-1.0958,0.023821,-0.56129,-0.07272
-0.74903,1.0876,0.22064,-0.045138,-1.0499,0.026182,-0.46446,0.084138
-0.7659,-0.87023,-0.067649,-0.18131,-1.1842,0.025509,-0.5067,0.09324
-0.6955,1.2147,0.51039,-0.12208,-1.0902,0.025829,-0.36775,-0.089245
-0.78528,-0.90155,-0.22084,-0.21815,-1.2356,0.021568,-0.49586,0.26592
-0.73124,0.51082,0.5711,-0.04499,-1.1471,0.024289,-0.40411,-0.18577
-0.83237,-0.084009,-0.12817,-0.10689,-1.2199,0.021652,-0.49741,0.27215
-0.76791,-0.33189,0.40935,0.016188,-1.1926,0.019855,-0.51839,-0.16326
-0.77549,0.52247,0.10249,0.011827,-1.1634,0.018635,-0.55597,0.18582
-0.81699,-0.92556,0.16479,0.03405,-1.2026,0.0211,-0.63827,-0.045632
-0.73767,1.0574,0.40513,0.11752,-1.0889,0.021774,-0.54836,0.027382
-0.84549,-1.0886,-0.078506,0.03879,-1.1981,0.023416,-0.66762,0.12819
-0.7673,0.97594,0.54952,0.11324,-1.0805,0.028653,-0.58001,-0.12665
-0.83074,-0.64903,-0.20148,-0.074105,-1.1992,0.024539,-0.67329,0.24411
-0.8117,0.41865,0.49216,0.0035796,-1.1273,0.024129,-0.55167,-0.19913
-0.79837,0.13295,-0.15785,-0.087773,-1.1882,0.016537,-0.57647,0.25093
-0.87607,-0.54407,0.22403,-0.0058684,-1.2016,0.0049854,-0.5755,-0.14401
-0.77725,0.85699,0.03924,-0.0096772,-1.1678,0.0085214,-0.5171,0.15601
-0.75313,-1.0114,-0.067482,-0.069596,-1.256,0.0064743,-0.51683,0.012
-0.81788,1.0615,0.30399,-0.016864,-1.1495,0.0069363,-0.38312,-0.0095145
-0.73976,-1.3032,-0.34222,-0.093785,-1.2729,0.0046132,-0.49886,0.22637
-0.76935,0.78151,0.40957,0.089569,-1.1598,0.0071738,-0.37738,-0.16362
-0.72098,-0.62126,-0.36484,0.012385,-1.2666,0.006885,-0.47032,0.29812
-0.77491,0.06757,0.37188,0.12668,-1.216,0.01037,-0.41888,-0.17881
-0.81641,0.35331,-0.087114,0.036979,-1.2219,0.01209,-0.45161,0.22243
-0.61296,-0.64388,0.25373,0.025424,-1.246,0.014984,-0.49857,-0.094721
-0.76463,0.92802,0.22597,0.03202,-1.1694,0.013784,-0.43619,0.089906
-0.71387,-1.0965,-0.0094473,-0.0078595,-1.2634,0.01035,-0.52408,0.064108
-0.7033,0.92274,0.42008,0.11443,-1.1289,0.01139,-0.43985,-0.079097
-0.79648,-0.47008,-0.41006,0.013195,-1.2323,0.0076294,-0.56003,0.1729
-0.65644,0.80308,0.47272,0.11624,-1.1051,0.0091439,-0.44066,-0.17129
-0.75619,-0.11011,-0.085752,-0.00065306,-1.2268,0.0084252,-0.59349,0.26266
-0.74976,0.088178,0.36857,0.10891,-1.1732,0.0086241,-0.57064,-0.1534
-0.67769,0.61362,0.041669,0.049002,-1.1806,0.0080915,-0.58542,0.19648
-0.66422,-0.51047,0.16248,0.02166,-1.2285,0.012571,-0.65179,-0.029788
-0.68948,1.174,0.30282,-0.047752,-1.1234,0.01191,-0.5349,0.036143
-0.76815,-0.82105,0.0042359,-0.20604,-1.267,0.013039,-0.69368,0.13211
-0.67364,1.2504,0.53878,-0.10987,-1.0835,0.00075626,-0.54683,-0.11796
-0.70735,-0.57639,-0.14329,-0.22075,-1.2357,-0.021314,-0.69171,0.27485
-0.76037,0.47611,0.60144,-0.052255,-1.0715,-0.010898,-0.56106,-0.20032
-0.68268,-0.11678,-0.031026,-0.13099,-1.0832,-0.021962,-0.57459,0.31467
-0.73887,-0.46759,0.46528,-0.017899,-1.0473,-0.019363,-0.51094,-0.14267
-0.71651,0.5565,0.27552,-0.01811,-1.0061,-0.023117,-0.44898,0.19193
-0.7049,-1.0771,0.17757,-0.019254,-1.0485,-0.02295,-0.5046,0.029913
-0.76189,1.0167,0.5217,0.048951,-0.94322,-0.022084,-0.43574,-0.00024179
-0.66679,-1.1095,-0.081737,-0.058729,-1.0416,-0.024702,-0.54766,0.20619
-0.74488,0.84726,0.64068,0.012443,-0.94076,-0.023264,-0.44005,-0.14581
-0.77392,-0.87274,-0.24043,-0.11374,-1.0508,-0.026781,-0.57957,0.29734
-0.65022,-0.18416,0.49621,0.00963,-0.97826,-0.023996,-0.56282,-0.1903
-0.72533,-0.13038,-0.14417,-0.0096066,-0.98493,-0.025992,-0.56363,0.24813
-0.63659,-1.0288,0.2312,0.049934,-0.98344,-0.024946,-0.56519,-0.13534
-0.75324,0.69299,0.14336,0.055868,-0.94951,-0.026236,-0.53881,0.14301
-0.6708,-1.5971,-0.076713,0.012334,-1.0147,-0.026261,-0.61076,0.010637
-0.66841,0.78719,0.40807,0.12021,-0.93151,-0.02433,-0.52479,-0.027622
-0.74705,-1.3756,-0.36357,0.047692,-1.042,-0.024965,-0.60475,0.16185
-0.62872,0.41861,0.59209,0.1496,-0.92951,-0.02388,-0.49608,-0.15841
-0.77826,-0.56045,-0.17611,-0.026146,-0.99313,-0.029303,-0.57079,0.26531
-0.68468,-0.23322,0.59586,0.0040357,-0.92998,-0.03008,-0.51948,-0.19032
-0.70163,0.53891,0.1629,-0.10687,-0.92667,-0.013722,-0.50841,0.20824
-0.68509,-1.0139,0.34795,-0.13401,-0.93912,-0.0015219,-0.55807,-0.11772
-0.67811,1.0422,0.37551,-0.11082,-0.87309,-0.0064185,-0.53097,0.098813
-0.73016,-1.5412,-0.037899,-0.10978,-0.93856,-0.0037552,-0.61539,0.051549
-0.65302,0.66985,0.55231,0.053633,-0.8122,3.1087e-05,-0.5247,-0.077052
-0.75258,-1.0723,-0.29821,0.0099897,-0.89592,-0.0004759,-0.62839,0.25445
-0.68029,0.18579,0.43596,0.22619,-0.80231,0.0021489,-0.54099,-0.1857
-0.63442,-0.32046,-0.33054,0.21864,-0.86009,0.0020205,-0.57672,0.2904
-0.68167,-0.47799,0.17266,0.31246,-0.83108,0.0032976,-0.55025,-0.11891
-0.70711,0.71869,-0.11568,0.30174,-0.79828,0.0063138,-0.55366,0.092778
-0.64696,-0.77402,-0.13837,0.21905,-0.83597,0.0064678,-0.58623,-0.060551
-0.63914,1.0863,0.17025,0.19648,-0.77764,0.0058004,-0.50818,-0.0034301
-0.70604,-0.86507,-0.27313,0.037107,-0.90059,0.0023478,-0.61102,0.10125
-0.7224,1.0172,0.42468,0.048199,-0.80134,0.0039008,-0.49267,-0.13006
-0.64239,-0.43742,-0.60209,-0.071581,-0.89575,0.0017125,-0.56693,0.24065
-0.64146,0.37822,0.45531,0.041385,-0.82827,0.001674,-0.49543,-0.16608
-0.71658,0.020163,-0.18419,-0.033731,-0.87705,-0.0013038,-0.53971,0.26078
-0.70292,-0.96034,0.29665,0.0098933,-0.88183,-0.0010984,-0.5548,-0.097009
-0.72088,0.82494,0.3117,0.028648,-0.83663,-0.0031456,-0.53248,0.12108
-0.66471,-1.6984,0.20251,0.034692,-0.91081,-0.0026963,-0.61635,0.044881
-0.666,0.75056,0.64925,0.16706,-0.82332,-0.0021637,-0.59186,-0.032295
-0.65785,-1.7189,0.024427,0.083962,-0.95543,-0.0040761,-0.76416,0.171
-0.64244,0.11437,0.67343,0.16186,-0.83231,-0.0366,-0.66565,-0.15605
-0.76571,-1.0188,-0.039165,-0.0057207,-0.94,-0.040309,-0.78338,0.27368
-0.64528,-0.6061,0.60987,0.049844,-0.88119,-0.037678,-0.73096,-0.18426
-0.64653,0.068244,0.10962,-0.026929,-0.89581,-0.042222,-0.72724,0.24082
-0.66347,-1.4671,0.35912,-0.043828,-0.93125,-0.03952,-0.72747,-0.080776
-0.6235,0.89409,0.39274,-0.029954,-0.8628,-0.040142,-0.66391,0.080779
-0.6892,-1.5178,0.061121,-0.084234,-0.95689,-0.040938,-0.75815,0.01256
-0.64445,0.99775,0.63188,0.027171,-0.83717,-0.04054,-0.59881,-0.054759
-0.68548,-1.0982,-0.2332,0.010202,-0.99329,-0.043666,-0.69676,0.092997
-0.67399,0.28978,0.69966,0.15896,-0.85117,-0.038211,-0.54323,-0.16197
-0.64304,-0.4373,-0.37473,0.090648,-0.95941,-0.036979,-0.62026,0.16389
-0.69175,-0.60359,0.38846,0.14915,-0.88754,-0.033654,-0.53443,-0.17888
-0.6283,0.61782,-0.17377,0.11217,-0.93952,-0.034116,-0.53887,0.13289
-0.65868,-1.2822,-0.077735,0.11373,-0.9817,-0.033815,-0.57917,-0.12325
-0.66266,1.0992,0.21118,0.12684,-0.89478,-0.035047,-0.50031,0.043372
-0.61301,-1.2007,-0.47044,0.024859,-1.0359,-0.036054,-0.6954,0.0019486
-0.67394,0.80501,0.34375,0.073024,-0.81755,-0.034617,-0.53474,-0.077855
-0.59228,-0.90131,-0.80528,-0.012779,-0.97378,-0.041856,-0.71155,0.08808
-0.69601,-0.032421,0.30779,0.096699,-0.81663,-0.038551,-0.59916,-0.16343
-0.59649,0.047347,-0.56995,0.087944,-0.85893,-0.041298,-0.65203,0.15625
-0.65376,-0.87079,0.066144,0.18021,-0.83769,-0.029643,-0.62367,-0.15795
-0.6519,0.65211,-0.12745,0.20679,-0.81153,-0.023656,-0.55889,0.125
-0.60644,-1.6416,-0.18863,0.24674,-0.86112,-0.025511,-0.58592,-0.05415
-0.65893,0.85748,0.25919,0.31456,-0.82261,-0.021018,-0.51064,0.001973
-0.63108,-1.4529,-0.36132,0.21821,-0.96334,-0.023059,-0.61182,0.094067
-0.608,0.66545,0.50708,0.23534,-0.83566,-0.01994,-0.45927,-0.12037
-0.68806,-0.63613,-0.35505,0.11191,-0.91308,-0.025735,-0.48813,0.18665
-0.56731,-0.22797,0.46177,0.11504,-0.86618,-0.02363,-0.4275,-0.1662
-0.6923,0.41966,-0.16213,0.0085509,-0.95972,-0.023643,-0.50536,0.19444
-0.59584,-0.83462,0.23499,-0.037238,-0.9759,-0.024894,-0.53273,-0.12704
-0.63532,1.1604,0.16195,-0.054226,-0.89917,-0.027282,-0.48549,0.096404
-0.65634,-1.3438,-0.10634,-0.095044,-0.9551,-0.026229,-0.57556,0.002484
-0.59577,0.94738,0.44584,0.003175,-0.87366,-0.024696,-0.55619,-0.040497
-0.66405,-1.0931,-0.31036,-0.053725,-0.96019,-0.025498,-0.69828,0.11906
-0.62368,0.51653,0.63388,0.065644,-0.87942,-0.024304,-0.67442,-0.15871
-0.60529,-0.34673,-0.20842,0.024004,-0.92704,-0.026062,-0.76553,0.20763
-0.68917,-0.22304,0.53491,0.091869,-0.8775,-0.020614,-0.72918,-0.18803
-0.56041,0.49628,0.020219,0.058258,-0.87742,-0.02062,-0.73698,0.18159
-0.69178,-0.95289,0.20665,0.050679,-0.88703,-0.022462,-0.75497,-0.10336
-0.59603,1.1964,0.33951,0.047409,-0.84124,-0.019947,-0.67234,0.045757
-0.61768,-1.1232,-0.083825,-0.019389,-0.91347,-0.021204,-0.68799,0.0034576
-0.6743,1.0818,0.60517,0.024557,-0.84403,0.0077385,-0.57087,-0.073961
-0.55879,-0.48728,-0.1425,-0.03269,-0.91722,0.0076101,-0.58977,0.09212
-0.68043,0.71014,0.57939,0.036889,-0.86079,0.0061405,-0.52337,-0.14279
-0.58239,0.33349,-0.15188,0.0042605,-0.91091,0.0059288,-0.52874,0.12447
-0.6156,-0.077278,0.35908,0.053935,-0.89086,0.0052421,-0.44529,-0.1303
-0.65426,0.95836,0.16726,0.09079,-0.87784,0.0039586,-0.41229,0.057561
-0.55703,-0.36374,0.16958,0.11787,-0.9175,0.0053127,-0.45046,-0.10353
-0.67542,1.2325,0.39926,0.13484,-0.86453,0.0096573,-0.41131,0.015943
-0.58505,-0.71157,-0.11323,0.071142,-0.93956,0.0082776,-0.51071,0.011903
-0.60206,0.9868,0.57691,0.13643,-0.87487,0.011024,-0.51097,-0.086325
-0.65412,-0.1343,-0.16601,0.084412,-0.94363,0.0088487,-0.6606,0.10147
-0.54934,0.51547,0.52894,0.13792,-0.88864,0.0080979,-0.70243,-0.134
-0.67528,0.63869,-0.038086,0.11155,-0.9009,0.0094905,-0.76396,0.11011
-0.56615,-0.16369,0.31382,0.111,-0.87948,0.010062,-0.79622,-0.13081
-0.60968,1.1626,0.16585,0.12474,-0.83817,0.010857,-0.81448,0.069219
-0.63378,-0.57074,-0.0087214,0.10669,-0.8643,0.0095611,-0.83346,-0.051765
-0.55396,1.298,0.41406,0.15221,-0.78852,0.01105,-0.68433,-0.025967
-0.64305,-0.72142,-0.2505,0.10536,-0.85412,0.0078668,-0.68885,0.076471
-0.5849,0.91035,0.48538,0.2115,-0.76754,0.0088744,-0.56525,-0.13595
-0.58219,0.057089,-0.28338,0.14173,-0.82299,0.008714,-0.50796,0.16628
-0.56387,0.31761,0.40655,0.15504,-0.78429,0.0097536,-0.40663,-0.15347
-0.60065,0.80816,-0.06691,0.083558,-0.81299,-0.0023819,-0.40008,0.13335
-0.63228,-0.38857,0.16329,0.080006,-0.83873,-0.031581,-0.39189,-0.079194
-0.59519,1.3972,0.25246,0.083911,-0.7905,-0.029733,-0.36943,0.022052
-0.61629,-0.88726,-0.080381,0.046677,-0.87141,-0.032352,-0.45714,0.007449
-0.5952,1.27,0.51304,0.094046,-0.77017,-0.03402,-0.39345,-0.079924
-0.61121,-0.5056,-0.26601,0.019772,-0.85645,-0.032749,-0.54469,0.095795
-0.62041,0.87763,0.61056,0.075111,-0.75986,-0.029072,-0.48691,-0.14179
-0.61427,0.031061,-0.16197,-0.00013923,-0.83993,-0.029932,-0.63113,0.1627
-0.61721,-0.20103,0.49528,0.04134,-0.75777,-0.027012,-0.66712,-0.15471
-0.61789,0.65083,0.024671,-0.024167,-0.73944,-0.02827,-0.72767,0.19977
-0.61165,-1.1731,0.10348,-0.053623,-0.73586,-0.024156,-0.79168,-0.042736
-0.62467,1.1565,0.33981,-0.027379,-0.62684,-0.022372,-0.71689,0.034075
-0.60546,-1.488,-0.36724,-0.10626,-0.71651,-0.020344,-0.8939,0.11247
-0.62573,1.0335,0.60129,0.015738,-0.57064,-0.019979,-0.77306,-0.11263
-0.60755,-0.93902,-0.51734,-0.085602,-0.68601,-0.025183,-0.84721,0.20434
-0.61835,0.31606,0.57481,0.016592,-0.57335,-0.026197,-0.7407,-0.1928
-0.61445,-0.095588,-0.40599,-0.069372,-0.65214,-0.035021,-0.77734,0.24236
-0.6066,-0.92478,0.18261,0.016502,-0.60865,-0.031556,-0.69646,-0.15474
-0.62149,0.8121,0.047849,0.037126,-0.58291,-0.0318,-0.61405,0.13595
-0.60837,-1.3555,-0.078486,-0.0056115,-0.63997,-0.032204,-0.62336,-0.024263
-0.62005,1.1313,0.48627,0.026773,-0.54558,-0.032429,-0.5008,-0.0074945
-0.61442,-0.97525,-0.16244,-0.089963,-0.63604,-0.015506,-0.56649,0.083773
-0.61547,0.99999,0.68827,-0.0028112,-0.55139,-0.0015027,-0.44017,-0.12412
-0.61445,-0.40018,-0.21705,-0.1184,-0.63346,-0.0096657,-0.52946,0.16199
-0.61682,0.20181,0.5351,-0.0084761,-0.57036,-0.0055586,-0.52218,-0.17477
-0.6124,0.62284,-0.068516,-0.071954,-0.58938,-0.007272,-0.56022,0.17453
-0.61776,-0.66038,0.27188,-0.037752,-0.58804,-0.0061746,-0.59606,-0.11577
-0.61174,1.2326,0.26468,0.0012995,-0.54634,-0.0062003,-0.61324,0.080438
-0.61557,-0.96532,-0.089651,-0.011822,-0.60999,-0.0050516,-0.70948,-0.011121
-0.6174,1.1739,0.40567,0.13346,-0.53257,-0.0032996,-0.61274,-0.045851
-0.60921,-0.99772,-0.42102,0.093192,-0.62255,-0.0035755,-0.70108,0.09582
-0.62221,0.48397,0.36135,0.19946,-0.5433,-0.0036012,-0.63461,-0.13778
-0.60883,-0.31828,-0.45427,0.10635,-0.61823,-0.0059308,-0.66902,0.17879
-0.61963,-0.42335,0.21052,0.18041,-0.59235,-0.00083527,-0.5807,-0.16175
-0.61391,0.70657,-0.17541,0.16131,-0.61366,0.00086536,-0.50159,0.14647
-0.61256,-1.11,-0.045094,0.16034,-0.64585,-0.00057857,-0.49633,-0.10161
-0.62117,1.1769,0.1504,0.17481,-0.60284,0.0016483,-0.43166,0.041011
-0.60624,-1.162,-0.27484,0.080308,-0.68392,0.00097446,-0.4457,0.020713
-0.62325,1.0702,0.45741,0.16819,-0.59776,0.0021745,-0.32402,-0.073547
